"ID Caso","Código DANE de Municipio","Municipio","Departamento","Año","Mes","Día","ID Persona","Sexo","Etnia","Ocupación","Calidad de la Víctima o la Baja","Tipo de Población Vulnerable","Militante Político","Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente","Descripción Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente","Situación Actual de la Víctima","Fuente de Información de la Desaparición","Edad","latitud-longitud"
"1,022,709","19573","PUERTO TEJADA","CAUCA","2,022","12","25","1,033,297","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"APARECIÓ MUERTO",,,"POINT (-76.417673 3.233254)"
"1,022,754","44090","DIBULLA","LA GUAJIRA","2,024","10","4","1,033,337","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"APARECIÓ MUERTO","ONG","ADULTEZ (29-59 AÑOS)","POINT (-73.43568788 11.09029715)"
"1,022,780","50325","MAPIRIPAN","META","1,996","6","21","1,033,366","MUJER",,"EMPLEADO","CIVIL",,,,,"DESAPARECIDO",,"JUVENTUD (18-28 AÑOS)","POINT (-71.93805692 3.117523361)"
"1,022,780","50325","MAPIRIPAN","META","1,996","6","21","1,033,368","HOMBRE",,"COMERCIANTE","CIVIL",,,,,"DESAPARECIDO","ENTIDAD PÚBLICA",,"POINT (-71.93805692 3.117523361)"
"1,022,784","68000","SIN INFORMACION","SANTANDER","1,986","4","15","1,033,370","HOMBRE",,"CAMPESINO","CIVIL",,,,,"DESAPARECIDO",,"JUVENTUD (18-28 AÑOS)","POINT (-73.48600894 6.693633184)"
"1,022,784","68000","SIN INFORMACION","SANTANDER","1,986","4","15","1,033,371","HOMBRE",,"CAMPESINO","CIVIL",,,,,"DESAPARECIDO",,,"POINT (-73.48600894 6.693633184)"
"1,022,787","05001","MEDELLIN","ANTIOQUIA","1,979","2","7","1,033,372","SIN INFORMACION",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"JUVENTUD (18-28 AÑOS)","POINT (-75.578661 6.250063)"
"1,022,789","05483","NARIÑO","ANTIOQUIA","2,000","1","1","1,033,373","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"ADOLESCENCIA (12-17 AÑOS)","POINT (-75.19457019 5.581275312)"
"1,022,792","05790","TARAZA","ANTIOQUIA","2,002","10","21","1,033,374","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"JUVENTUD (18-28 AÑOS)","POINT (-75.401407 7.580127)"
"1,022,798","44078","BARRANCAS","LA GUAJIRA","2,024","11","11","1,033,389","HOMBRE",,"DELINCUENTE","CIVIL",,,,,"APARECIÓ MUERTO","ONG","JUVENTUD (18-28 AÑOS)","POINT (-72.69696879 10.94871677)"
"1,022,817","19137","CALDONO","CAUCA","2,025","6","28","1,033,404","MUJER","INDÍGENA","ESTUDIANTE","CIVIL",,,,,"DESAPARECIDO",,,"POINT (-76.42719377 2.803845691)"
"1,022,818","19824","TOTORO","CAUCA","2,025","7","4","1,033,405","MUJER","INDÍGENA","ESTUDIANTE","CIVIL",,,,,"DESAPARECIDO",,,"POINT (-76.39675937 2.475213085)"
"1,022,825","54398","LA PLAYA","NORTE DE SANTANDER","2,025","7","27","1,033,408","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"APARECIÓ MUERTO",,,"POINT (-73.19627485 8.281139385)"
"1,022,836","19110","BUENOS AIRES","CAUCA","2,025","8","5","1,033,415","HOMBRE",,"FUERZA PÚBLICA","COMBATIENTE",,,"AGENTE DEL ESTADO","POLICÍA NACIONAL","SIGUE DESAPARECIDO PERO EXISTE INFORMACIÓN",,"JUVENTUD (18-28 AÑOS)","POINT (-76.66827811 2.977298273)"
"1,022,896","19364","JAMBALO","CAUCA","2,025","8","2","1,033,449","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"SIGUE DESAPARECIDO PERO EXISTE INFORMACIÓN",,,"POINT (-76.323877 2.777834)"
"1,022,896","19364","JAMBALO","CAUCA","2,025","8","2","1,033,450","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"SIGUE DESAPARECIDO PERO EXISTE INFORMACIÓN",,,"POINT (-76.323877 2.777834)"
"1,022,915","66001","PEREIRA","RISARALDA","2,024","12","10","1,033,470","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"APARECIÓ MUERTO","ONG","JUVENTUD (18-28 AÑOS)","POINT (-75.79579093 4.803662773)"
"1,022,915","66001","PEREIRA","RISARALDA","2,024","12","10","1,033,471","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"APARECIÓ MUERTO",,"JUVENTUD (18-28 AÑOS)","POINT (-75.79579093 4.803662773)"
